week_start,week_end,page_path,language,phase_change_this_week,impressions,clicks,ctr_pct,avg_position,whatsapp_clicks,call_clicks,whatsapp_rate_pct,call_rate_pct,index_status,primary_issue,next_action,owner,status
YYYY-MM-DD,YYYY-MM-DD,/services/used-macbook-air-dubai.html,EN,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/services/used-macbook-pro-dubai.html,EN,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/services/used-business-laptops-dubai.html,EN,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/services/student-laptops-dubai.html,EN,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/services/gaming-laptops-dubai.html,EN,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/ar/services/used-macbook-air-dubai.html,AR,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/ar/services/used-macbook-pro-dubai.html,AR,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/ar/services/used-business-laptops-dubai.html,AR,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/ar/services/student-laptops-dubai.html,AR,,,,,,,,,,indexed,,,Analytics+SEO,open
YYYY-MM-DD,YYYY-MM-DD,/ar/services/gaming-laptops-dubai.html,AR,,,,,,,,,,indexed,,,Analytics+SEO,open
